fee_id,am,am_f,am_m,bc,bc_n,bc_g,na,na_f,na_m,jc,jc_g,jc_m,jc_o,jc_s,kw,kw_j,kw_m,kw_u,ma,ma_n,ma_f,ma_g,ma_m,ma_i,ma_p,ma_s,ow,sa,un,un_n,un_m,up,ur,vs,vs_n,vs_f,vs_g,vs_m,vs_p,vs_s,card_code
25,12000,-1,-1,-1,-1,-1,7000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,440
26,10000,-1,6000,-1,-1,-1,5000,-1,1000,10000,-1,6000,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,6000,-1,-1,-1,-1,-1,10000,-1,6000,-1,-1,10000,-1,-1,-1,6000,-1,-1,472
27,20000,-1,14000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15000,-1,9000,-1,20000,-1,-1,-1,14000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20000,-1,-1,-1,14000,-1,-1,476
28,10000,-1,6000,-1,-1,-1,5000,-1,1000,10000,-1,6000,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,6000,-1,-1,-1,-1,-1,10000,-1,6000,-1,-1,10000,-1,-1,-1,6000,-1,-1,491
29,-1,-1,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,505
30,-1,-1,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,506
31,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,507
32,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,509
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,-1,1210
34,12000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1239
