brand_id,name_eng,name_kor,category_id
151,mart_lottesuper,롯데슈퍼,11
152,mart_gsthefresh,GS THE FRESH,11
153,movies_cgv,CGV,12
154,movies_lottecinema,롯데시네마,12
155,movies_megabox,메가박스,12
156,movies_cgvonline,CGV 온라인,12
157,movies_megaboxonline,메가박스 온라인,12
158,movies_lottecinemaonline,롯데시네마 온라인,12
159,movies_ticketlinkmovie,티켓링크 영화,12
160,movies_interparkmovie,인터파크 영화,12
161,movies_yes24movie,YES24 영화,12
162,movies_navermovie,네이버영화,12
163,movies_maxmovie,맥스무비,12
164,onlineshopping_11st,11번가,13
165,onlineshopping_gmarket,G마켓,13
166,onlineshopping_auction,옥션,13
167,onlineshopping_navershopping,네이버쇼핑,13
168,onlineshopping_interpark,인터파크,13
169,onlineshopping_gsshop,GS SHOP,13
170,onlineshopping_lottecom,롯데닷컴,13
171,onlineshopping_lotteimall,롯데아이몰,13
172,onlineshopping_ssgcom,SSG닷컴,13
173,onlineshopping_shinsegaemall,신세계몰,13
174,onlineshopping_akmall,AK몰,13
175,onlineshopping_emartmall,이마트몰,13
176,onlineshopping_hyundaihmall,현대Hmall,13
177,onlineshopping_coupang,쿠팡,13
178,onlineshopping_wemakeprice,위메프,13
179,onlineshopping_tmon,티몬,13
180,themepark_lotteworld,롯데월드,14
181,themepark_everland,에버랜드,14
182,themepark_seoulland,서울랜드,14
183,themepark_kjworld,경주월드,14
184,themepark_carribeanbay,캐리비안 베이,14
185,themepark_oceanworld,오션월드,14
186,transport_kakaottaxi,카카오T 택시,15
187,transport_bus,버스,15
188,transport_subway,지하철,15
189,transport_taxi,택시,15
190,transport_tmoney,T-money 충전,15
191,transport_kakaotblack,카카오 T 블랙,15
192,transport_expressbus,고속버스모바일앱,15
193,transport_premiumtaxi,모범택시,15
194,transport_cashbee,캐시비,15
195,transport_korail,KORAIL,15
196,transport_srt,SRT,15
197,transport_arex,코레일공항철도,15
198,transport_ktx,KTX,15
199,starbuckssirenorder,스타벅스 APP 사이렌오더,3
